NAME,SPECT_TYPE
KX Aqr    ,F8/G0V           
AO Aqr    ,F:               
BB Aqr    ,                 
RT Aqr    ,M5e-M6e          
KW Aqr    ,M3III            
AL Aqr    ,                 
AQ Aqr    ,                 
AZ Aqr    ,                 
KQ Aqr    ,A0V              
AW Aqr    ,                 
RR PsA    ,                 
RU PsA    ,                 
Z PsA     ,                 
RS PsA    ,                 
AE PsA    ,                 
VY PsA    ,                 
AU Aqr    ,                 
AR Aqr    ,                 
RT PsA    ,                 
UW PsA    ,                 
T PsA     ,F0               
AA PsA    ,                 
RW PsA    ,                 
R PsA     ,M3(II)e-M5IIe    
RX PsA    ,Me               
KZ Aqr    ,M1               
CY Aqr    ,A2-A8            
pi. Aqr   ,B1Ve             
WY Aqr    ,                 
HL Aqr    ,pec(e)           
GY Aqr    ,                 
V350 Aqr  ,                 
GU Aqr    ,                 
CX Aqr    ,F2p              
GS Aqr    ,                 
GQ Aqr    ,                 
FX Aqr    ,                 
GT Aqr    ,                 
GM Aqr    ,                 
DY Aqr    ,A0               
FS Cet    ,DAwke+M1.5V      
LT Cet    ,                 
HQ Cet    ,                 
DR Cet    ,                 
DX Cet    ,                 
V Ari     ,C5II             
AG Ari    ,B9               
DU Cet    ,                 
V441 Peg  ,                 
V693 Peg  ,                 
V382 Peg  ,                 
HL Peg    ,M6.5             
LO Peg    ,                 
V433 Peg  ,K4               
V602 Vul  ,M6               
BL Peg    ,                 
BH Vul    ,                 
V604 Vul  ,M7               
NV Peg    ,                 
V380 Peg  ,                 
VZ Vul    ,K0               
V445 Vul  ,                 
R Vul     ,M3e-M7e          
DY Vul    ,M3-M6            
V421 Vul  ,                 
V514 Vul  ,                 
V599 Vul  ,                 
V513 Vul  ,                 
DV Peg    ,F                
V552 Vul  ,                 
V467 Vul  ,                 
SW Peg    ,M4e              
V439 Peg  ,                 
V695 Peg  ,                 
BG Vul    ,                 
DP Peg    ,                 
V428 Peg  ,                 
V690 Peg  ,                 
V512 Vul  ,                 
