     WC5              : 4
     C4,5J(R6p/N3)    : 4
     Ce:(M0:e)        : 4
     A8-F3            : 4
     B1:III:          : 4
     K0IV+G2          : 4
     G2IV/V:          : 3
     B1.5IIIpe        : 3
     B1Ia-Oe          : 3
     O9IV+O9IV        : 3
     OBea             : 3
     A5:-F8           : 3
     K0-K2e           : 3
     M6.5e            : 3
     M2.5II-III+B9V   : 3
     F9V+K1IV         : 3
     A3III-A6III      : 3
     C5,4:            : 3
     B9IIIp(He weak)  : 3
     B3II-III         : 3
     M6.5-M8          : 3
     M2-M8            : 3
     B1ne-B8          : 3
     G2-K0(M2)        : 3
     B3IIIpe          : 3
     M2e-M4e          : 3
     A9-F4            : 3
     K3II             : 3
     M7e-M9.3         : 3
     S2.5,9           : 3
     A3+A4            : 3
     B9pSiCrSr        : 3
     A1IV/V           : 3
     G8Ia-M2Ia        : 3
     M4S              : 3
     Ma               : 3
     O7V              : 3
     WN5+O5V          : 3
     wd+M4Ve          : 3
     G8pVe-K3Ve(T)    : 3
     B2IVea+B0        : 3
     M6e-M9.5e        : 3
     F0+G0:           : 3
     B9IIIp(Hg-Mn)    : 3
     pec(cont+e)+M4-5 : 3
     K6ea             : 3
     K4-K6Ve          : 3
     S6,3e-S9,2e      : 3
     F3II-F5II        : 3
     S4,3(M4)         : 3
     A4Vn             : 3
     M3e-M5IIe        : 3
     M1III e          : 3
     M6.2III          : 3
     B2Iabe           : 3
     S5,4(M4)         : 3
     C:               : 3
     B1IV-Vea         : 3
     F9-G5Ib          : 3
     B9pSiEu          : 3
     F1IV             : 3
     M6-7             : 3
     M7e-M9:          : 3
     B9V+G8IV         : 3
     F6-G0Ib          : 3
     B8+G             : 3
     C6,4e            : 3
     C7,4             : 3
     B1Ib             : 3
     G2:              : 3
     K7Ve-M0Ve        : 3
     M1.5Iab-Ib       : 3
     G7III            : 3
     G8-K3:           : 3
     C4,5J(R4)        : 3
     B2IV-V           : 3
     M0IV-Ve          : 3
     B1Ia             : 3
     DO+MVe           : 3
     K1.5Ib           : 3
     B7               : 3
     M0/M1III         : 3
     G8-K2(M2)        : 3
     C5,4J(N3)        : 3
     F2Vn             : 3
     A0eq             : 3
     K1III-V          : 3
     O6.5V((f))       : 3
     F1               : 3
     M1.0Iab-M3.5Iab  : 3
     B2III+O9.5V      : 3
     M2-M3            : 3
     G8III-IVp        : 3
     A0e              : 3
     A9Vn             : 3
     K5-M1            : 3
     B2-B3pe          : 3
     G0-4             : 3
     K2.5Ib           : 3
     M1ea             : 3
     M4e-M6.5e        : 3
